class,accuracy,samples
n03250847,0.0,50
n03796401,0.0,50
n03804744,0.0,50
n03814639,0.0,50
n03837869,0.0,50
n03838899,0.0,50
n03854065,0.0,50
n03891332,0.0,50
n03902125,0.0,50
n03930313,0.0,50
n03937543,0.0,50
n03970156,0.0,50
n03976657,0.0,50
n03977966,0.0,50
n03980874,0.0,50
n03983396,0.0,50
n03992509,0.0,50
n04008634,0.0,50
n04023962,0.0,50
n04067472,0.0,50
n03770439,0.0,50
n04070727,0.0,50
n03763968,0.0,50
n03706229,0.0,50
n03126707,0.0,50
n03160309,0.0,50
n03179701,0.0,50
n03201208,0.0,50
n09428293,0.0,50
n03255030,0.0,50
n03388043,0.0,50
n03393912,0.0,50
n03400231,0.0,50
n03404251,0.0,50
n03424325,0.0,50
n03444034,0.0,50
n03447447,0.0,50
n03544143,0.0,50
n03584254,0.0,50
n03617480,0.0,50
n03637318,0.0,50
n03649909,0.0,50
n03670208,0.0,50
n03733131,0.0,50
n04074963,0.0,50
n04099969,0.0,50
n04118538,0.0,50
n04560804,0.0,50
n04562935,0.0,50
n04596742,0.0,50
n04597913,0.0,50
n06596364,0.0,50
n07614500,0.0,50
n07695742,0.0,50
n07711569,0.0,50
n07715103,0.0,50
n07720875,0.0,50
n07734744,0.0,50
n07749582,0.0,50
n07753592,0.0,50
n07871810,0.0,50
n07873807,0.0,50
n07920052,0.0,50
n09246464,0.0,50
n09256479,0.0,50
n09332890,0.0,50
n04540053,0.0,50
n04532670,0.0,50
n04532106,0.0,50
n04507155,0.0,50
n04133789,0.0,50
n04149813,0.0,50
n04179913,0.0,50
n04251144,0.0,50
n04254777,0.0,50
n04259630,0.0,50
n04265275,0.0,50
n04275548,0.0,50
n04285008,0.0,50
n03100240,0.0,50
n04328186,0.0,50
n04366367,0.0,50
n04371430,0.0,50
n04376876,0.0,50
n04398044,0.0,50
n04399382,0.0,50
n04417672,0.0,50
n04465501,0.0,50
n04487081,0.0,50
n04501370,0.0,50
n04356056,0.0,50
n03085013,0.0,50
n12267677,0.0,50
n02236044,0.0,50
n02206856,0.0,50
n01855672,0.0,50
n02231487,0.0,50
n02233338,0.0,50
n01784675,0.0,50
n01774750,0.0,50
n02268443,0.0,50
n02190166,0.0,50
n01774384,0.0,50
n02321529,0.0,50
n02364673,0.0,50
n02395406,0.0,50
n02403003,0.0,50
n02410509,0.0,50
n02415577,0.0,50
n01770393,0.0,50
n02281406,0.0,50
n02165456,0.0,50
n02132136,0.0,50
n01882714,0.0,50
n01984695,0.0,50
n02002724,0.0,50
n02056570,0.0,50
n01945685,0.0,50
n02074367,0.0,50
n02085620,0.0,50
n02094433,0.0,50
n01944390,0.0,50
n02099601,0.0,50
n01917289,0.0,50
n02099712,0.0,50
n02106662,0.0,50
n02113799,0.0,50
n02123045,0.0,50
n02123394,0.0,50
n02124075,0.0,50
n02125311,0.0,50
n01768244,0.0,50
n01983481,0.0,50
n02480495,0.0,50
n02486410,0.0,50
n02843684,0.0,50
n02883205,0.0,50
n02892201,0.0,50
n02906734,0.0,50
n02909870,0.0,50
n02917067,0.0,50
n02927161,0.0,50
n02841315,0.0,50
n02948072,0.0,50
n02950826,0.0,50
n02963159,0.0,50
n02977058,0.0,50
n02988304,0.0,50
n02999410,0.0,50
n03014705,0.0,50
n03026506,0.0,50
n01629819,0.0,50
n02481823,0.0,50
n01641577,0.0,50
n02823428,0.0,50
n02504458,0.0,50
n01742172,0.0,50
n02666196,0.0,50
n02669723,0.0,50
n02699494,0.0,50
n02730930,0.0,50
n02769748,0.0,50
n02788148,0.0,50
n02837789,0.0,50
n02791270,0.0,50
n02795169,0.0,50
n02802426,0.0,50
n01698640,0.0,50
n02814533,0.0,50
n02814860,0.0,50
n01644900,0.0,50
n02815834,0.0,50
n02793495,0.0,50
n01950731,0.0,50
n07615774,0.02,50
n03089624,0.02,50
n02279972,0.02,50
n04456115,0.02,50
n02129165,0.02,50
n07579787,0.04,50
n03355925,0.04,50
n02226429,0.04,50
n02808440,0.04,50
n02509815,0.04,50
n09193705,0.08,50
n03042490,0.08,50
n04146614,0.08,50
n02058221,0.12,50
n07875152,0.12,50
n02437312,0.12,50
n03599486,0.14,50
n07768694,0.14,50
n04486054,0.16,50
n02423022,0.16,50
n04311004,0.2,50
n07583066,0.3,50
n01443537,0.32,50
n03662601,0.38,50
n07747607,0.7,50
n01910747,0.8,50
