Profile,Date,Start_Time,End_Time,Duration,Model,Pretrained,Epochs_Run,Train_Loss,Train_Accuracy,Val_Loss,Val_Accuracy,Dropout_Rate,Learning_Rate,Batch_Size,Weight_Decay,Label_Smoothing
LAPTOP,05/03/2026,08:37,08:56,0h 18m,VIT,False,1,5.0477,0.0316,4.7789,0.0622,0.3,0.001,16,1e-4,0.1
LAPTOP,05/03/2026,09:49,10:23,0h 34m,VIT,False,2,4.8259,0.0546,4.6881,0.0776,0.3,0.001,16,1e-4,0.1
LAPTOP,09/03/2026,15:42,15:50,0h 7m,VIT,False,1,5.0089,0.0353,4.7364,0.0706,0.2,0.001,16,1e-4,0.1
LAPTOP,09/03/2026,16:06,16:14,0h 7m,VIT,False,1,5.0223,0.0345,4.7738,0.0646,0.2,0.001,16,1e-4,0.1
LAPTOP,09/03/2026,16:54,17:01,0h 7m,VIT,False,2,4.7319,0.0675,4.5906,0.0899,0.2,0.001,16,1e-4,0.1
LAPTOP,09/03/2026,17:22,17:26,0h 3m,VIT,False,1,5.0218,0.0329,4.7602,0.0653,0.2,0.001,16,1e-4,0.1
LAPTOP,09/03/2026,17:39,17:43,0h 3m,VIT,False,1,5.044,0.0322,4.7762,0.0652,0.2,0.001,16,1e-4,0.1
LAPTOP,17/03/2026,15:02,15:20,0h 17m,VIT,False,1,5.1763,0.0208,4.9022,0.0463,0.2,0.001,16,1e-4,0.1
LAPTOP,30/03/2026,18:36,18:54,0h 18m,VIT,False,1,5.317,0.005,5.2989,0.005,0.2,0.001,16,0.0001,0.1,N/A
LAPTOP,31/03/2026,08:09,08:13,0h 3m,VIT,False,1,5.3166,0.0048,5.3062,0.0044,0.2,0.001,16,0.0001,0.1,N/A
DESKTOP,01/05/2026,23:27,23:55,0h 28m,EFFICIENTNET,True,56,3.9879,0.2978,2.556,0.5597,0.4,0.0005,128,0.0001,0.1,efficientnet_history_01-05-2026_0.5597.csv
DESKTOP,02/05/2026,00:17,00:44,0h 26m,EFFICIENTNET,True,38,3.8352,0.3439,2.5117,0.5739,0.4,0.0005,128,0.0001,0.1,efficientnet_history_02-05-2026_0.5739.csv
DESKTOP,02/05/2026,01:05,02:45,1h 39m,CONVNEXT,True,65,2.913,0.6163,3.0855,0.4405,0.4,0.0005,128,0.0001,0.1,convnext_history_02-05-2026_0.4405.csv
DESKTOP,02/05/2026,14:29,15:22,0h 53m,VIT,False,37,5.2474,0.013,5.1067,0.021,0.4,0.0005,128,0.0001,0.1,N/A
DESKTOP,02/05/2026,16:42,17:57,1h 15m,RESNET,False,63,4.4428,0.2118,3.5492,0.3175,0.0,0.0005,128,0.0001,0.1,N/A
DESKTOP,02/05/2026,23:36,00:12,0h 35m,EFFICIENTNET,True,42,3.7546,0.3643,2.5186,0.5739,0.35,0.0005,128,0.0001,0.1,efficientnet_history_03-05-2026_0.5739.csv
DESKTOP,03/05/2026,00:28,02:33,2h 4m,CONVNEXT,True,69,2.8816,0.6241,3.1225,0.4362,0.35,0.0005,128,0.0001,0.1,convnext_history_03-05-2026_0.4362.csv
DESKTOP,03/05/2026,13:07,14:42,1h 34m,VIT,False,98,5.0609,0.0474,4.4706,0.1134,0.3,0.0005,128,0.0001,0.1,N/A
DESKTOP,03/05/2026,14:45,15:52,1h 6m,RESNET,False,52,4.5607,0.1786,3.5643,0.3019,0.0,0.0005,128,0.0001,0.1,N/A
DESKTOP,03/05/2026,23:21,00:35,1h 13m,EFFICIENTNET,True,68,3.3072,0.505,2.4469,0.5875,0.3,0.0005,128,0.0001,0.1,efficientnet_history_04-05-2026_0.5875.csv
